LAUS Code,State,County,County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
CN0223000000000,02,230,"Skagway Municipality, AK",Nov-21,544,465,79,14.50000000
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",Nov-21,3303,3093,210,6.40000000
CN0227500000000,02,275,"Wrangell Borough/city, AK",Nov-21,944,878,66,7.00000000
CN0228200000000,02,282,"Yakutat Borough/city, AK",Nov-21,262,242,20,7.60000000
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",Nov-21,2385,2130,255,10.70000000
CN0400100000000,04,001,"Apache County, AZ",Nov-21,18375,17154,1221,6.60000000
CN0400300000000,04,003,"Cochise County, AZ",Nov-21,49242,47590,1652,3.40000000
CN0400500000000,04,005,"Coconino County, AZ",Nov-21,74128,71204,2924,3.90000000
CN0400700000000,04,007,"Gila County, AZ",Nov-21,20339,19664,675,3.30000000
CN0400900000000,04,009,"Graham County, AZ",Nov-21,15915,15512,403,2.50000000
CN0401100000000,04,011,"Greenlee County, AZ",Nov-21,4346,4234,112,2.60000000
CN0401200000000,04,012,"La Paz County, AZ",Nov-21,9035,8727,308,3.40000000
CN0401300000000,04,013,"Maricopa County, AZ",Nov-21,2329932,2265143,64789,2.80000000
CN0401500000000,04,015,"Mohave County, AZ",Nov-21,87955,84511,3444,3.90000000
CN0401700000000,04,017,"Navajo County, AZ",Nov-21,38986,37229,1757,4.50000000
CN0401900000000,04,019,"Pima County, AZ",Nov-21,483147,467844,15303,3.20000000
CN0402100000000,04,021,"Pinal County, AZ",Nov-21,195370,189460,5910,3.00000000
CN0402300000000,04,023,"Santa Cruz County, AZ",Nov-21,19176,17926,1250,6.50000000
CN0402500000000,04,025,"Yavapai County, AZ",Nov-21,106091,103305,2786,2.60000000
CN0402700000000,04,027,"Yuma County, AZ",Nov-21,97216,86224,10992,11.30000000
CN0500100000000,05,001,"Arkansas County, AR",Nov-21,9426,9183,243,2.60000000
CN0500300000000,05,003,"Ashley County, AR",Nov-21,6575,6236,339,5.20000000
CN0500500000000,05,005,"Baxter County, AR",Nov-21,16163,15781,382,2.40000000
CN0500700000000,05,007,"Benton County, AR",Nov-21,144638,142172,2466,1.70000000
CN0500900000000,05,009,"Boone County, AR",Nov-21,15750,15469,281,1.80000000
CN0501100000000,05,011,"Bradley County, AR",Nov-21,3910,3790,120,3.10000000
CN0501300000000,05,013,"Calhoun County, AR",Nov-21,2368,2322,46,1.90000000
CN0501500000000,05,015,"Carroll County, AR",Nov-21,12547,12311,236,1.90000000
CN0501700000000,05,017,"Chicot County, AR",Nov-21,2942,2764,178,6.10000000
CN0501900000000,05,019,"Clark County, AR",Nov-21,8820,8562,258,2.90000000
CN0502100000000,05,021,"Clay County, AR",Nov-21,5278,5150,128,2.40000000
CN0502300000000,05,023,"Cleburne County, AR",Nov-21,8854,8583,271,3.10000000
CN0502500000000,05,025,"Cleveland County, AR",Nov-21,3059,2982,77,2.50000000
CN0502700000000,05,027,"Columbia County, AR",Nov-21,8811,8516,295,3.30000000
CN0502900000000,05,029,"Conway County, AR",Nov-21,8187,7968,219,2.70000000
CN0503100000000,05,031,"Craighead County, AR",Nov-21,56100,55016,1084,1.90000000
CN0503300000000,05,033,"Crawford County, AR",Nov-21,25825,25225,600,2.30000000
CN0503500000000,05,035,"Crittenden County, AR",Nov-21,20415,19758,657,3.20000000
CN0503700000000,05,037,"Cross County, AR",Nov-21,6844,6648,196,2.90000000
CN0503900000000,05,039,"Dallas County, AR",Nov-21,2745,2663,82,3.00000000
CN0504100000000,05,041,"Desha County, AR",Nov-21,4923,4717,206,4.20000000
CN0504300000000,05,043,"Drew County, AR",Nov-21,7457,7212,245,3.30000000
CN0504500000000,05,045,"Faulkner County, AR",Nov-21,61389,60065,1324,2.20000000
CN0504700000000,05,047,"Franklin County, AR",Nov-21,7215,7042,173,2.40000000
CN0504900000000,05,049,"Fulton County, AR",Nov-21,4853,4744,109,2.20000000
CN0505100000000,05,051,"Garland County, AR",Nov-21,39896,38625,1271,3.20000000
CN0505300000000,05,053,"Grant County, AR",Nov-21,8206,8036,170,2.10000000
CN0505500000000,05,055,"Greene County, AR",Nov-21,19253,18862,391,2.00000000
CN0505700000000,05,057,"Hempstead County, AR",Nov-21,9052,8837,215,2.40000000
CN0505900000000,05,059,"Hot Spring County, AR",Nov-21,13714,13363,351,2.60000000
CN0506100000000,05,061,"Howard County, AR",Nov-21,5352,5226,126,2.40000000
CN0506300000000,05,063,"Independence County, AR",Nov-21,16257,15862,395,2.40000000
CN0506500000000,05,065,"Izard County, AR",Nov-21,4326,4163,163,3.80000000
CN0506700000000,05,067,"Jackson County, AR",Nov-21,5557,5367,190,3.40000000
CN0506900000000,05,069,"Jefferson County, AR",Nov-21,25740,24531,1209,4.70000000
CN0507100000000,05,071,"Johnson County, AR",Nov-21,9893,9579,314,3.20000000
CN0507300000000,05,073,"Lafayette County, AR",Nov-21,2280,2198,82,3.60000000
CN0507500000000,05,075,"Lawrence County, AR",Nov-21,6675,6497,178,2.70000000
CN0507700000000,05,077,"Lee County, AR",Nov-21,2448,2355,93,3.80000000
CN0507900000000,05,079,"Lincoln County, AR",Nov-21,3661,3549,112,3.10000000
CN0508100000000,05,081,"Little River County, AR",Nov-21,5269,5108,161,3.10000000
CN0508300000000,05,083,"Logan County, AR",Nov-21,8266,8042,224,2.70000000
CN0508500000000,05,085,"Lonoke County, AR",Nov-21,33318,32607,711,2.10000000
CN0508700000000,05,087,"Madison County, AR",Nov-21,7431,7289,142,1.90000000
CN0508900000000,05,089,"Marion County, AR",Nov-21,6015,5858,157,2.60000000
CN0509100000000,05,091,"Miller County, AR",Nov-21,18995,18375,620,3.30000000
CN0509300000000,05,093,"Mississippi County, AR",Nov-21,16031,15248,783,4.90000000
CN0509500000000,05,095,"Monroe County, AR",Nov-21,2539,2445,94,3.70000000
CN0509700000000,05,097,"Montgomery County, AR",Nov-21,2717,2616,101,3.70000000
CN0509900000000,05,099,"Nevada County, AR",Nov-21,3339,3235,104,3.10000000
CN0510100000000,05,101,"Newton County, AR",Nov-21,3159,3103,56,1.80000000
CN0510300000000,05,103,"Ouachita County, AR",Nov-21,9689,9424,265,2.70000000
CN0510500000000,05,105,"Perry County, AR",Nov-21,4104,3985,119,2.90000000
CN0510700000000,05,107,"Phillips County, AR",Nov-21,5649,5335,314,5.60000000
CN0510900000000,05,109,"Pike County, AR",Nov-21,4072,3946,126,3.10000000
CN0511100000000,05,111,"Poinsett County, AR",Nov-21,9688,9453,235,2.40000000
CN0511300000000,05,113,"Polk County, AR",Nov-21,7674,7460,214,2.80000000
CN0511500000000,05,115,"Pope County, AR",Nov-21,27330,26650,680,2.50000000
CN0511700000000,05,117,"Prairie County, AR",Nov-21,3482,3409,73,2.10000000
CN0511900000000,05,119,"Pulaski County, AR",Nov-21,185224,179432,5792,3.10000000
CN0512100000000,05,121,"Randolph County, AR",Nov-21,7216,7043,173,2.40000000
